policy,training_seed,ensemble_seed,episode_seed,attempted_pairs,retained_pairs,excluded_nonfinite_pairs,terminated,truncated,qualifies,zero_variance,spearman_rho,uncertainty_median,error_median
A2,0,0,60056,250,250,0,False,True,True,False,-0.272057770336025,4.771987931466985,3.2679926275612514
A2,0,0,60057,105,105,0,True,False,True,False,0.3284677586564379,3.5408371572716457,18.491443651020717
A2,0,0,60058,110,110,0,True,False,True,False,0.43500664968554875,2.845543780204556,9.040891496765884
A2,0,0,60059,51,51,0,True,False,True,False,0.4701357466063348,5.346929431882835,7.994940849066496
A2,0,0,60060,117,117,0,True,False,True,False,-0.34632618501700907,10.69032058974368,35.74094803020472
A2,0,0,60061,49,49,0,True,False,True,False,-0.17510204081632652,3.814062680816451,16.9878476006162
A2,0,0,60062,250,250,0,False,True,True,False,0.3374784884516912,2.7633031744082595,0.39759020822620605
A2,0,0,60063,103,103,0,True,False,True,False,0.16389535649958267,4.863781367301175,3.98244886593821
A2,0,0,60064,41,41,0,True,False,True,False,-0.10452961672473869,4.22215437006329,9.438326115050437
A2,0,0,60065,250,250,0,False,True,True,False,0.3761175196407923,3.7510750040382757,1.229650515880996
A2,0,0,60066,250,250,0,False,True,True,False,0.42893601497623957,5.553039638791961,3.2642535111742434
A2,0,0,60067,84,84,0,True,False,True,False,-0.033431203806823934,2.5816559441412026,8.195439209378161
A2,0,0,60068,74,74,0,True,False,True,False,0.40271010736764146,4.617430821138318,11.748096042200402
A2,0,0,60069,250,250,0,False,True,True,False,-0.6655198963183411,4.729968838184455,6.3966876104623696
A2,0,0,60070,250,250,0,False,True,True,False,-0.9421195219123506,3.299053018763002,10.993231810010172
A2,0,0,60071,250,250,0,False,True,True,False,0.042448904984869515,3.6473736179208016,5.445348989286186
A2,0,0,60072,250,250,0,False,True,True,False,-0.24539494943502577,1.761878791196553,7.564969630028759
A2,0,0,60073,35,35,0,True,False,True,False,0.723529411764706,3.49372228181316,4.4830719798937775
A2,0,0,60074,60,60,0,True,False,True,False,0.47685468185607127,5.356031640785784,10.456398034552674
A2,0,0,60075,250,250,0,False,True,True,False,-0.2026298296970441,4.0253393002336875,2.9258735244207688
A2,0,0,60076,59,59,0,True,False,True,False,0.184979544126242,4.362518372745164,2.858983089638311
A2,0,0,60077,68,68,0,True,False,True,False,0.3337405046379356,4.500768521821524,16.80971428042644
A2,0,0,60078,250,250,0,False,True,True,False,0.01101790640194066,3.319511729317834,4.786218853896432
A2,0,0,60079,63,63,0,True,False,True,False,0.7292626728110599,5.782194370773413,6.71818549278397
A2,0,0,60080,250,250,0,False,True,True,False,-0.028964431430902892,3.0080203885821755,13.204772685074271
A2,0,0,60081,250,250,0,False,True,True,False,0.8133430614889837,3.80884548740699,4.784881913477092
A2,0,0,60082,44,44,0,True,False,True,False,-0.2641296687808316,3.0232154402676006,14.551467305194857
A2,0,0,60083,57,57,0,True,False,True,False,0.38494944257194713,2.7649465574312773,9.664262562486194
A2,0,0,60084,250,250,0,False,True,True,False,-0.445386838189411,2.103362599443229,17.162704670734747
A2,0,0,60085,37,37,0,True,False,True,False,0.1872925557136083,3.5527958838532427,16.9708117089903
A2,0,0,60086,250,250,0,False,True,True,False,0.5417145955548468,2.0406111811728427,4.312872734105726
A2,0,0,60087,250,250,0,False,True,True,False,-0.1620325445207123,5.127286172599071,1.6778281811610003
A2,0,0,60088,66,66,0,True,False,True,False,0.46698674459868506,5.651122212691013,13.403487156145998
A2,0,0,60089,250,250,0,False,True,True,False,0.15085566169058703,4.234412189594041,14.379572794937902
A2,0,0,60090,250,250,0,False,True,True,False,-0.099275340892495,4.509380078351744,6.619802395868911
A2,0,0,60091,250,250,0,False,True,True,False,-0.0389122450768726,3.093028828765198,2.7118188281821087
A2,0,0,60092,89,89,0,True,False,True,False,0.02102485529451822,5.124942372966646,11.045529203627181
A2,0,0,60093,57,57,0,True,False,True,False,0.582966035779103,2.6994836171134966,8.077646592141916
A2,0,0,60094,37,37,0,True,False,True,False,0.9357515410146988,4.194625513554127,6.794745833676262
A2,0,0,60095,250,250,0,False,True,True,False,0.08860596169538712,3.3728325282898552,8.909805940471447
A2,0,0,60096,37,37,0,True,False,True,False,-0.29753437648174486,3.6954132452393957,13.238544386152869
A2,0,0,60097,250,250,0,False,True,True,False,0.3172954447271156,2.9247107366157814,0.7263839561554282
A2,0,0,60098,39,39,0,True,False,True,False,-0.3631578947368421,3.8284370907050334,10.344581647003395
A2,0,0,60099,45,45,0,True,False,True,False,0.09393939393939392,5.418638081370817,10.938115234312157
A2,1,1,60000,250,250,0,False,True,True,False,0.23947736763788222,6.354312895414646,6.677234541868424
A2,1,1,60001,82,82,0,True,False,True,False,0.7370294184869559,6.489939026876274,6.2397672135347895
A2,1,1,60002,87,87,0,True,False,True,False,0.34883720930232553,5.929524986608693,30.80708494291969
A2,1,1,60003,61,61,0,True,False,True,False,0.2881015335801163,5.546545371333057,11.15512603562359
A2,1,1,60004,69,69,0,True,False,True,False,0.4987943003288272,3.621885773005968,18.562855820121758
A2,1,1,60005,71,71,0,True,False,True,False,0.12065727699530515,4.601196380854867,24.66846822815736
A2,1,1,60006,65,65,0,True,False,True,False,0.6636800699300699,6.131385886202377,13.872875379955495
A2,1,1,60007,69,69,0,True,False,True,False,0.22506393861892587,9.162479047671257,22.21809996644845
A2,1,1,60008,250,250,0,False,True,True,False,-0.13265772029332606,3.9932076261163534,4.00592510855307
A2,1,1,60009,56,56,0,True,False,True,False,0.6747778537252221,5.553322291924225,10.427458474009104
A2,1,1,60010,250,250,0,False,True,True,False,0.7703866892454337,4.873277039691807,5.744550701471578
A2,1,1,60011,22,22,0,True,False,True,False,0.751552795031056,4.542144586014353,22.845051246788437
A2,1,1,60012,250,250,0,False,True,True,False,0.08075481916319953,1.5580979179902337,5.046396189095545
A2,1,1,60013,63,63,0,True,False,True,False,0.34350998463901694,3.593051419486936,10.712289440660149
A2,1,1,60014,42,42,0,True,False,True,False,0.7813791426950816,2.5106500987460025,3.3585798557474433
A2,1,1,60015,72,72,0,True,False,True,False,0.5603575792655477,4.6131602909468254,20.698113584149773
A2,1,1,60016,250,250,0,False,True,True,False,-0.23698649502059754,1.5928418209238324,1.1112117233257464
A2,1,1,60017,250,250,0,False,True,True,False,0.5969678874861998,6.336387371898316,7.340036138478453
A2,1,1,60018,65,65,0,True,False,True,False,0.6316870629370629,6.065227391014141,19.285908832127298
A2,1,1,60019,62,62,0,True,False,True,False,0.7157462667774672,7.049901027829611,4.9328302417443854
A2,1,1,60020,51,51,0,True,False,True,False,0.5582805429864254,5.5303920450668,6.260347173449409
A2,1,1,60021,250,250,0,False,True,True,False,0.43189363029808475,2.6411510740695983,3.3544765378061383
A2,1,1,60022,250,250,0,False,True,True,False,0.5782337637402197,6.1876324331858665,2.731328051608303
A2,1,1,60023,50,50,0,True,False,True,False,-0.16475390156062425,3.9059721021914005,99.58932384683752
A2,1,1,60024,84,84,0,True,False,True,False,0.6789510985116939,3.89043786700647,13.681957741736344
A2,1,1,60025,250,250,0,False,True,True,False,-0.1756079297268756,4.0870757443303445,14.338552185434889
A2,1,1,60026,34,34,0,True,False,True,False,-0.19938884644766997,5.285857248720108,5.88720088782553
A2,1,1,60027,41,41,0,True,False,True,False,0.41689895470383287,3.3711957959794026,5.894704878067937
A2,1,1,60028,250,250,0,False,True,True,False,0.022318821101137618,3.0222612302174494,5.098377092450836
A2,1,1,60029,74,74,0,True,False,True,False,0.006738245094409476,5.795812370223036,17.732732798790526
A2,1,1,60030,65,65,0,True,False,True,False,0.6403409090909091,3.618794679055971,7.174147834032626
A2,1,1,60031,250,250,0,False,True,True,False,-0.11168483817490689,4.010633432724131,4.3107369029376255
A2,1,1,60032,250,250,0,False,True,True,False,0.0036492103873661972,3.0754181143196746,13.043646847482218
A2,1,1,60033,72,72,0,True,False,True,False,0.24532124252363502,5.611816933027793,14.083327032446785
A2,1,1,60034,57,57,0,True,False,True,False,0.42857142857142866,4.6933923558036,6.8601440487655045
A2,1,1,60035,90,90,0,True,False,True,False,0.23630077787381157,4.154991924915109,11.154498788606087
A2,1,1,60036,250,250,0,False,True,True,False,0.01962348574348152,4.108029343878071,7.786862819613746
A2,1,1,60037,250,250,0,False,True,True,False,0.32129345607200793,6.2580746359836645,1.9279341997795316
A2,1,1,60038,250,250,0,False,True,True,False,0.4551129137359559,5.5323282945205605,6.871786972175279
A2,1,1,60039,250,250,0,False,True,True,False,0.48982095713531415,4.581650214109262,8.12322624386305
A2,1,1,60040,250,250,0,False,True,True,False,-0.04339999039984639,3.278524461237141,1.8298368177438769
A2,1,1,60041,250,250,0,False,True,True,False,-0.406233649735264,2.4643286128610056,3.5841443033468385
A2,1,1,60042,49,49,0,True,False,True,False,0.5993877551020408,3.751506735247867,9.626471232747901
A2,1,1,60043,250,250,0,False,True,True,False,0.09439832849773676,3.572492512215063,1.3163816992036246
A2,1,1,60044,49,49,0,True,False,True,False,0.775204081632653,2.9810185149762085,20.843534680018056
A2,1,1,60045,94,94,0,True,False,True,False,0.694122746812123,6.574880748457581,4.790113543143319
A2,1,1,60046,69,69,0,True,False,True,False,0.6439166971136282,8.00760712242804,17.79211737527116
A2,1,1,60047,52,52,0,True,False,True,False,0.423119610688978,5.1494466400454755,5.961188046588571
A2,1,1,60048,250,250,0,False,True,True,False,-0.2543517058050476,1.809456029841836,2.3515099975839395
A2,1,1,60049,36,36,0,True,False,True,False,0.2555984555984556,3.987061822677558,11.718485857123225
A2,1,1,60050,48,48,0,True,False,True,False,-0.18193660442900564,3.8067166264594072,10.907275786716603
A2,1,1,60051,80,80,0,True,False,True,False,0.13823253633380217,2.5635472363117877,9.849484464850327
A2,1,1,60052,250,250,0,False,True,True,False,0.7937257236115778,5.225247712132971,4.527314487884148
A2,1,1,60053,49,49,0,True,False,True,False,0.34673469387755096,2.205449745083391,14.54806162371749
A2,1,1,60054,250,250,0,False,True,True,False,0.2988823501176019,4.326661663147955,18.487495667995738
A2,1,1,60055,250,250,0,False,True,True,False,0.6503977343637498,4.008812939298966,18.551923442497653
A2,1,1,60056,57,57,0,True,False,True,False,0.29232564169043296,5.1562099853521755,7.729260474434825
A2,1,1,60057,250,250,0,False,True,True,False,0.4275912254596073,3.4474639909120275,12.761263199575858
A2,1,1,60058,88,88,0,True,False,True,False,0.6231552252474377,2.8930287042368383,6.60448774083202
A2,1,1,60059,250,250,0,False,True,True,False,-0.040397993252929226,5.160345270095211,8.893427391568613
A2,1,1,60060,123,123,0,True,False,True,False,0.5015993602558977,8.665861896005822,25.806885469721607
A2,1,1,60061,31,31,0,True,False,True,False,0.5116935483870968,4.312703657955517,37.345833458295516
A2,1,1,60062,250,250,0,False,True,True,False,-0.033418531529223035,3.9419630722659673,1.3618888616639209
A2,1,1,60063,69,69,0,True,False,True,False,0.38045305078553165,3.9215902680705703,8.493951114514639
A2,1,1,60064,40,40,0,True,False,True,False,-0.6926829268292684,5.745809067883912,7.497178966743938
A2,1,1,60065,66,66,0,True,False,True,False,0.8188915562049891,7.663399381141068,13.252559454576993
A2,1,1,60066,99,99,0,True,False,True,False,0.2825602968460111,4.068372716350963,4.508591642551521
A2,1,1,60067,69,69,0,True,False,True,False,0.45104128607964933,3.4460283978926456,7.739746121071871
A2,1,1,60068,85,85,0,True,False,True,False,0.432577682235685,5.623359197471612,12.786835644918911
A2,1,1,60069,72,72,0,True,False,True,False,0.12325551482410445,5.733378402415097,5.134309091288338
A2,1,1,60070,74,74,0,True,False,True,False,0.14396149574231762,3.464393286229181,7.917384588581692
A2,1,1,60071,65,65,0,True,False,True,False,0.47167832167832163,3.3596091956472436,2.428650256092022
A2,1,1,60072,250,250,0,False,True,True,False,0.18617662752348263,1.5056686153099346,0.4779299918753005
A2,1,1,60073,250,250,0,False,True,True,False,0.1789413779162142,3.436141932744003,5.34263687342478
A2,1,1,60074,67,67,0,True,False,True,False,0.4557426769893847,6.007078510923026,12.648896860515467
A2,1,1,60075,250,250,0,False,True,True,False,0.7148160543015644,5.734940807164133,2.6876127525788465
A2,1,1,60076,58,58,0,True,False,True,False,0.6492048355839921,4.704741915374177,8.362417345041518
A2,1,1,60077,62,62,0,True,False,True,False,0.5264284455188739,5.915298789367191,9.292155053036183
A2,1,1,60078,77,77,0,True,False,True,False,0.5892002734107997,2.9551157077017147,8.715053315145173
A2,1,1,60079,67,67,0,True,False,True,False,0.5896320536355656,7.231401471684658,8.183389054454421
A2,1,1,60080,86,86,0,True,False,True,False,0.44331336383791686,4.2371704019004115,12.771403707789517
A2,1,1,60081,250,250,0,False,True,True,False,0.5653434454951279,4.987811547920408,5.2490102224036175
A2,1,1,60082,250,250,0,False,True,True,False,0.5543298717092929,1.6207772591390777,7.345465066436484
A2,1,1,60083,70,70,0,True,False,True,False,0.6828623917417548,4.677286235379095,11.226529888959242
A2,1,1,60084,74,74,0,True,False,True,False,0.5600444279896334,3.3102611492684613,15.266958388167712
A2,1,1,60085,37,37,0,True,False,True,False,0.16216216216216214,6.700992380482358,14.672245795340698
A2,1,1,60086,59,59,0,True,False,True,False,0.38492109877264763,3.351279453363014,10.189524244111292
A2,1,1,60087,75,75,0,True,False,True,False,0.46694167852062585,4.046184267966721,6.273645007136274
A2,1,1,60088,250,250,0,False,True,True,False,0.024770321081039395,4.219208232634867,14.874641598782038
A2,1,1,60089,250,250,0,False,True,True,False,0.025735707771324338,5.18250313220957,8.068078202255045
A2,1,1,60090,50,50,0,True,False,True,False,0.22429771908763504,3.858562623514789,14.61739380611154
A2,1,1,60091,60,60,0,True,False,True,False,0.7638232842456241,3.253974482518519,13.781896404591789
A2,1,1,60092,250,250,0,False,True,True,False,0.15719345000098442,6.223133485309033,5.32872822556737
A2,1,1,60093,51,51,0,True,False,True,False,0.7712217194570135,3.7963036458247514,8.415643269709998
A2,1,1,60094,37,37,0,True,False,True,False,0.810099573257468,3.3799688797280205,7.624246248707073
A2,1,1,60095,94,94,0,True,False,True,False,0.04767546869920168,4.365372599874599,10.049202888064254
A2,1,1,60096,35,35,0,True,False,True,False,0.054061624649859946,5.844317935247482,11.774779093464366
A2,1,1,60097,250,250,0,False,True,True,False,-0.007193587097393557,4.277400693130791,0.33320701133252073
A2,1,1,60098,47,47,0,True,False,True,False,0.35777058279370955,4.7533351300826485,8.287833601620896
A2,1,1,60099,67,67,0,True,False,True,False,0.44085721126985394,3.9126511796705667,14.486320350230255
A2,2,2,60000,250,250,0,False,True,True,False,0.3203121969951519,4.305918984891971,7.887666894956407
A2,2,2,60001,250,250,0,False,True,True,False,0.29810588969423507,8.333416918968055,9.334547071773663
A2,2,2,60002,250,250,0,False,True,True,False,0.6112590601449622,8.800375864623073,29.447102206517073
A2,2,2,60003,67,67,0,True,False,True,False,-0.23896559980844442,7.579341786918536,19.235109471434036
A2,2,2,60004,66,66,0,True,False,True,False,0.1968270535434715,6.50912295217614,25.848371619036065
A2,2,2,60005,82,82,0,True,False,True,False,0.22993872509006216,6.33001341825657,29.827177416353337
A2,2,2,60006,250,250,0,False,True,True,False,0.8058249891998271,7.801755315951092,19.750802187017626
A2,2,2,60007,250,250,0,False,True,True,False,0.21220601929630872,8.971631917265633,10.278894819706217
A2,2,2,60008,66,66,0,True,False,True,False,0.1149984344014195,3.962534326685608,8.914656659422645
A2,2,2,60009,250,250,0,False,True,True,False,0.4400376326021216,3.340309817064867,5.02591598639413
A2,2,2,60010,250,250,0,False,True,True,False,0.769269908318533,7.99960963710358,14.205409372439027
A2,2,2,60011,32,32,0,True,False,True,False,-0.13673020527859234,4.229640757273664,28.541993039542387
A2,2,2,60012,250,250,0,False,True,True,False,0.09988444965476664,2.875975781252082,3.596798729947353
A2,2,2,60013,111,111,0,True,False,True,False,-0.4042295542295542,4.007674567317136,8.426603462629336
A2,2,2,60014,250,250,0,False,True,True,False,0.07311745787932607,4.127919771645404,13.254114915133005
A2,2,2,60015,77,77,0,True,False,True,False,0.3903990746096009,7.441846572225199,24.400309839115547
A2,2,2,60016,250,250,0,False,True,True,False,-0.025063697019152304,4.15692212434472,13.689819165761017
A2,2,2,60017,250,250,0,False,True,True,False,0.20516651125855048,6.6927388549221885,9.08626694497703
A2,2,2,60018,250,250,0,False,True,True,False,0.527111915818335,7.996701723456506,17.666488568870886
A2,2,2,60019,250,250,0,False,True,True,False,0.5201137656821034,7.642253552815292,10.8254502110583
A2,2,2,60020,53,53,0,True,False,True,False,-0.14328334139654894,6.980597805561936,16.197322899610256
A2,2,2,60021,250,250,0,False,True,True,False,0.6138237342053497,3.6917642716791317,4.939671508867432
A2,2,2,60022,250,250,0,False,True,True,False,0.7076922190755052,6.596078863817592,10.208624059579765
A2,2,2,60023,250,250,0,False,True,True,False,-0.033312917006672105,3.787450673467138,53.690461751268145
A2,2,2,60024,250,250,0,False,True,True,False,0.5875689531032495,3.7187957806028225,4.596268080654379
A2,2,2,60025,250,250,0,False,True,True,False,0.15148025927375366,5.619814998862557,16.367718506183166
A2,2,2,60026,45,45,0,True,False,True,False,0.6563899868247695,4.363297107333713,4.7905803161703195
A2,2,2,60027,69,69,0,True,False,True,False,-0.2819145049324078,6.742288044364121,9.443497241489657
A2,2,2,60028,39,39,0,True,False,True,False,-0.1665991902834008,3.813737950762212,13.180982738241145
A2,2,2,60029,102,102,0,True,False,True,False,0.6915821793487172,8.490963434690565,23.55588117460472
A2,2,2,60030,250,250,0,False,True,True,False,0.5095104881678106,7.725078087654124,12.569048188383789
A2,2,2,60031,250,250,0,False,True,True,False,0.3350902894446311,5.657428490651778,7.710219379088937
A2,2,2,60032,250,250,0,False,True,True,False,0.2915125042000672,6.803141256845181,15.852475267873908
A2,2,2,60033,72,72,0,True,False,True,False,0.5306129011511995,6.866509602872263,16.780676177274657
A2,2,2,60034,79,79,0,True,False,True,False,-0.11594449853943527,4.285803441509937,5.70776608923938
A2,2,2,60035,250,250,0,False,True,True,False,0.7601935253217109,5.450640849473304,14.799375539362153
A2,2,2,60036,250,250,0,False,True,True,False,0.2784232707723323,3.8384714744803343,5.7910662375060795
A2,2,2,60037,250,250,0,False,True,True,False,0.8805372245955936,6.990539038873543,12.212436899605414
A2,2,2,60038,250,250,0,False,True,True,False,0.39304449671194736,4.439636813087574,8.727765788108428
A2,2,2,60039,59,59,0,True,False,True,False,-0.04038573933372297,8.320812699090364,19.29728882564033
A2,2,2,60040,73,73,0,True,False,True,False,0.02202887819326176,4.082805200806975,6.120383480448071
A2,2,2,60041,61,61,0,True,False,True,False,0.49894235854045466,3.468627086205085,6.343406072341328
A2,2,2,60042,250,250,0,False,True,True,False,0.12354005871430232,3.325183849761129,4.949713156947496
A2,2,2,60043,82,82,0,True,False,True,False,-0.2394510290484431,3.4605400397539716,9.750251686047921
A2,2,2,60044,250,250,0,False,True,True,False,0.07103537656602506,8.684352551851788,39.211657296161476
A2,2,2,60045,70,70,0,True,False,True,False,0.6693202694427434,8.169272399020196,20.186598453784015
A2,2,2,60046,250,250,0,False,True,True,False,0.769438103009648,7.726984763259033,19.565071395898286
A2,2,2,60047,59,59,0,True,False,True,False,-0.36253652834599653,7.117612717141042,14.352148178747527
A2,2,2,60048,250,250,0,False,True,True,False,-0.1740872653962463,4.075287862706265,16.688010077939406
A2,2,2,60049,250,250,0,False,True,True,False,0.07422800364805836,3.3427763802751587,10.695114386641574
A2,2,2,60050,250,250,0,False,True,True,False,0.7180688331013296,7.8659267073090815,16.128566492576894
A2,2,2,60051,67,67,0,True,False,True,False,-0.0879559422140634,3.38144438269983,13.600693939966638
A2,2,2,60052,250,250,0,False,True,True,False,0.7228769183850452,7.921064904204261,14.939402775354786
A2,2,2,60053,95,95,0,True,False,True,False,0.10361142217245242,4.039987442406849,16.767191349520395
A2,2,2,60054,250,250,0,False,True,True,False,0.7000266884270148,8.756086479827339,22.155322791579955
A2,2,2,60055,113,113,0,True,False,True,False,0.3317253310266818,8.350035415794158,21.30323405173662
A2,2,2,60056,58,58,0,True,False,True,False,-0.19449998461964382,8.046699252847432,18.088642733359993
A2,2,2,60057,250,250,0,False,True,True,False,-0.26753823261172177,4.142327282353293,14.731235475399831
A2,2,2,60058,250,250,0,False,True,True,False,0.23764489031824507,3.134897478432271,3.804453617766969
A2,2,2,60059,54,54,0,True,False,True,False,0.5444253859348198,7.739891124618444,18.765874879624455
A2,2,2,60060,91,91,0,True,False,True,False,0.057079152731326646,6.8634337582169085,39.03577103985336
A2,2,2,60061,250,250,0,False,True,True,False,-0.09535602169634713,5.389094613145938,18.350300131924108
A2,2,2,60062,76,76,0,True,False,True,False,0.6311414900888586,3.8133833831108395,5.865945149950752
A2,2,2,60063,64,64,0,True,False,True,False,0.7397435897435898,6.696120329957884,23.115027735204748
A2,2,2,60064,34,34,0,True,False,True,False,0.10710466004583649,4.120199105472534,9.216542079498069
A2,2,2,60065,250,250,0,False,True,True,False,0.32429818077089234,8.117883304490048,9.281074781120175
A2,2,2,60066,250,250,0,False,True,True,False,0.7157293058704804,7.322322088048562,19.026226046008205
A2,2,2,60067,250,250,0,False,True,True,False,-0.3873481495703931,3.13586807952579,5.712985985305977
A2,2,2,60068,106,106,0,True,False,True,False,0.22818348993626722,6.595659581033624,19.665727937948198
A2,2,2,60069,250,250,0,False,True,True,False,0.5685322325157203,4.0625048427297745,6.03136561907336
A2,2,2,60070,70,70,0,True,False,True,False,0.5291750503018109,3.0817012752781854,5.929908671334775
A2,2,2,60071,250,250,0,False,True,True,False,0.4808259972159554,4.164663723232835,1.8481743252255973
A2,2,2,60072,250,250,0,False,True,True,False,0.8058536405540825,2.951751260467534,2.2818626225053213
A2,2,2,60073,43,43,0,True,False,True,False,0.26230745998187854,7.153923984219627,7.534101805484567
A2,2,2,60074,77,77,0,True,False,True,False,0.129764971870235,7.10158461216283,19.84562504786895
A2,2,2,60075,62,62,0,True,False,True,False,0.44156530936012695,8.553106174039844,24.017678939689574
A2,2,2,60076,57,57,0,True,False,True,False,-0.09366087632875293,6.850311840589054,14.75298193020247
A2,2,2,60077,65,65,0,True,False,True,False,0.18282342657342657,6.964131338432199,23.9981205339193
